feeder,node_id,kind,parent,tie_to,cabinet,model
Cedar Hollow Sub,BUS_CH,source,,,,
Cedar Hollow 1211,BKR_CEDA1211,breaker,BUS_CH,,,
Cedar Hollow 1211,RCL_121-101,recloser,BKR_CEDA1211,,,
Cedar Hollow 1211,RCL_121-102,recloser,RCL_121-101,,,
Cedar Hollow 1212,RCL_121-200,recloser,BUS_CH,,,
Cedar Hollow 1212,RCL_121-201,recloser,RCL_121-200,,,
Cedar Hollow 1212,PMH_121-270_W1,pmh,RCL_121-201,,PMH_121-270,PMH-10
Cedar Hollow 1212,PMH_121-270_W2,pmh,PMH_121-270_W1,,PMH_121-270,PMH-10
Cedar Hollow 1212,PMH_121-270_W3,pmh,PMH_121-270_W1,,PMH_121-270,PMH-10
Cedar Hollow 1212,PMH_121-270_W4,pmh,PMH_121-270_W1,,PMH_121-270,PMH-10
Sawmill Grade Sub,BUS_SG,source,,,,
Sawmill Grade 1215,BKR_SAWM1215,breaker,BUS_SG,,,
Sawmill Grade 1215,RCL_121-501,recloser,BKR_SAWM1215,,,
Ridgeline Sub,BUS_RG,source,,,,
Ridgeline 2104,BKR_RIDG2104,breaker,BUS_RG,,,
Ridgeline 2104,RCL_210-401,recloser,BKR_RIDG2104,,,
Ridgeline 2104,RCL_210-402,recloser,RCL_210-401,,,
Ridgeline 2104,RCL_210-421,recloser,RCL_210-401,,,
Ridgeline 2104,RCL_210-422,recloser,RCL_210-421,,,
Ridgeline 2106,RCL_210-600,recloser,BUS_RG,,,
Ridgeline 2106,RCL_210-601,recloser,RCL_210-600,,,
Bear Gulch Sub,BUS_BG,source,,,,
Bear Gulch 2110,BKR_BEAR2110,breaker,BUS_BG,,,
Bear Gulch 2110,RCL_211-001,recloser,BKR_BEAR2110,,,
Summit Tap Sub,BUS_ST,source,,,,
Summit Tap 2112,BKR_SUMM2112,breaker,BUS_ST,,,
Valley Oak Sub,BUS_VO,source,,,,
Valley Oak 3301,BKR_VALL3301,breaker,BUS_VO,,,
Valley Oak 3301,RCL_330-101,recloser,BKR_VALL3301,,,
Valley Oak 3301,RCL_330-102,recloser,RCL_330-101,,,
Valley Oak 3301,RCL_330-121,recloser,RCL_330-101,,,
Valley Oak 3301,RCL_330-122,recloser,RCL_330-102,,,
Valley Oak 3305,RCL_330-500,recloser,BUS_VO,,,
Valley Oak 3305,RCL_330-501,recloser,RCL_330-500,,,
Valley Oak 3305,PMH_330-570_W1,pmh,RCL_330-501,,PMH_330-570,PMH-11
Valley Oak 3305,PMH_330-570_W2,pmh,PMH_330-570_W1,,PMH_330-570,PMH-11
Valley Oak 3305,PMH_330-570_W3,pmh,PMH_330-570_W1,,PMH_330-570,PMH-11
Almond Row Sub,BUS_AR,source,,,,
Almond Row 3308,BKR_ALMO3308,breaker,BUS_AR,,,
Almond Row 3308,RCL_330-801,recloser,BKR_ALMO3308,,,
Riverbend Sub,BUS_RB,source,,,,
Riverbend 4402,BKR_RIVE4402,breaker,BUS_RB,,,
Riverbend 4402,RCL_440-201,recloser,BKR_RIVE4402,,,
Riverbend 4402,RCL_440-202,recloser,RCL_440-201,,,
Riverbend 4402,RCL_440-221,recloser,BKR_RIVE4402,,,
Riverbend 4407,RCL_440-700,recloser,BUS_RB,,,
Riverbend 4407,RCL_440-701,recloser,RCL_440-700,,,
Riverbend 4407,PMH_440-770_W1,pmh,RCL_440-701,,PMH_440-770,PMH-9
Riverbend 4407,PMH_440-770_W2,pmh,PMH_440-770_W1,,PMH_440-770,PMH-9
Delta Flats Sub,BUS_DF,source,,,,
Delta Flats 4411,BKR_DELT4411,breaker,BUS_DF,,,
Delta Flats 4411,RCL_441-101,recloser,BKR_DELT4411,,,
Cedar Hollow 1211,RCL_121-151,tie,RCL_121-102,RCL_121-201,,
Sawmill Grade 1215,RCL_121-551,tie,RCL_121-501,RCL_211-001,,
Cedar Hollow 1212,RCL_121-251,tie,RCL_121-201,RCL_330-501,,
Ridgeline 2104,RCL_210-451,tie,RCL_210-402,RCL_210-601,,
Ridgeline 2106,RCL_210-651,tie,RCL_210-601,BKR_SUMM2112,,
Bear Gulch 2110,RCL_211-051,tie,RCL_211-001,RCL_330-801,,
Valley Oak 3301,RCL_330-151,tie,RCL_330-102,RCL_330-501,,
Almond Row 3308,RCL_330-851,tie,RCL_330-801,RCL_440-701,,
Riverbend 4402,RCL_440-251,tie,RCL_440-202,RCL_440-701,,
Riverbend 4402,RCL_440-252,tie,RCL_440-201,RCL_441-101,,
Ridgeline 2104,RCL_210-452,tie,RCL_210-422,RCL_211-001,,
Valley Oak 3301,RCL_330-152,tie,RCL_330-121,RCL_330-801,,
Valley Oak 3305,RCL_330-551,tie,PMH_330-570_W3,RCL_330-801,,
Riverbend 4407,RCL_440-751,tie,PMH_440-770_W2,RCL_441-101,,
